Year,CC_count_pos,CO_count_pos,OC_count_pos,CC_count_neg,CO_count_neg,OC_count_neg,CC_avg_pos,CO_avg_pos,OC_avg_pos,CC_avg_neg,CO_avg_neg,OC_avg_neg,CC_max_return,CO_max_return,OC_max_return,CC_min_return,CO_min_return,OC_min_return,CC_median_return,CO_median_return,OC_median_return,CC_average_return,CO_average_return,OC_average_return,CC_stddev_return,CO_stddev_return,OC_stddev_return
2010,141,138,130,108,109,121,0.008427311451258005,0.0051987283945066605,0.007368697995768542,-0.009216106311230115,-0.005167530802918381,-0.007625204484765207,0.0519709451284231,0.0444836041521984,0.0286363254893909,-0.0385724153164278,-0.0219435634927149,-0.0267502365750156,0.0009836395069696001,0.0006086709622496,0.00060795079118025,0.0007655215595814532,0.0006117605592214906,0.00014000395552904923,0.012163381176708192,0.007165605291637777,0.009760538281713424
2011,133,126,131,117,123,121,0.01061281166552922,0.006225867699897358,0.00850511932563857,-0.011612068304715294,-0.006108022286907775,-0.008988610237138466,0.0482308483761522,0.0272158792417549,0.0342235325093335,-0.0601895145505574,-0.0306520800622937,-0.0326786041259765,0.0014779062737345,8.954255064735e-05,0.0010216726848216,0.00020988872961784363,0.00013163725752940835,0.00010535235303531073,0.014925310799746003,0.008589315517555535,0.011208577131261808
2012,127,137,139,119,111,108,0.007856898886061866,0.0041849845956780825,0.005633966080391344,-0.006991998953568621,-0.004056352110297207,-0.006805825685186725,0.0315113002432267,0.0245663468599587,0.0259313639987493,-0.026587197701691,-0.0208271179945815,-0.0243093470863961,0.0003241043958215,0.0005255170146973,0.0007818996003244,0.0006631131322207648,0.0004923512214596292,0.00019236844469692238,0.009682308969644348,0.005673564540938939,0.007989911872451102
2013,147,150,135,104,95,110,0.006101769424318275,0.003306150021162876,0.004775535588047434,-0.005661509798951493,-0.0037157145369178662,-0.00462516657725113,0.0317825853234714,0.0117149290022569,0.0187804989698456,-0.0237768458787901,-0.0157825782001786,-0.0193039964986562,0.00132492686950255,0.0006593588308364501,0.00056880654081015,0.0012228693900152032,0.000567181040346167,0.0005394007178126159,0.007723331812170979,0.0044816472234418476,0.0061191698944906
2014,145,149,138,105,100,111,0.00626700165669544,0.00341514852417648,0.00516500880573589,-0.007036530255626619,-0.003504527204764726,-0.006227518949441207,0.0262740054345795,0.0165967178346676,0.0189401174667726,-0.0309724576423954,-0.0211107991734781,-0.0330272834563514,0.0014642629240458,0.00098988117099675,0.00086999201480605,0.0006741252515081099,0.0006285889270865989,8.538338017293174e-05,0.008718579221421338,0.004672658745759924,0.0075904457158483575
2015,131,134,130,120,114,120,0.00824493552165792,0.004939215176957271,0.00628208460910381,-0.008199590841040499,-0.005044133278837656,-0.006919980135787712,0.0503619392989824,0.0366646419248328,0.0448901154286949,-0.0437056427451284,-0.0797851371797153,-0.0389928810505856,0.0006244627263026,0.00058605295339285,0.0005041227061311,0.00038149068417590355,0.0003445382536697675,-5.447070282154813e-05,0.011295996799079312,0.008525745677109538,0.009105213141279905
2016,132,136,132,118,113,119,0.00715698447648908,0.0038880817701243586,0.005821531925255401,-0.007407527723396009,-0.0045329378882924196,-0.005764166041134599,0.0320975699075838,0.0201288925137444,0.0236712641310633,-0.0411877895173644,-0.0355796197170719,-0.0384070930257672,0.00032893864076905,0.00041859673450309997,0.00056683378679095,0.0002802923791104347,6.570293396773532e-05,0.0003274065684075219,0.010211331708153333,0.006298477085914686,0.008035559574899723
2017,155,148,146,96,102,104,0.004669870415058078,0.002865925510982376,0.003574091802392278,-0.004633362230074497,-0.0024161678291133495,-0.004060369388672033,0.0291235614028657,0.0168071982108925,0.0126071162866901,-0.0254260701698859,-0.0100894716430008,-0.0261584083896797,0.0013562792563157,0.0008393027639571,0.0008785289605932,0.0011116619133340652,0.0007079994305013146,0.0003965696682365782,0.006509671713461691,0.0034815912247172236,0.005356521258915866
2018,136,139,128,115,109,121,0.009604321493669715,0.005457705446477279,0.00832870453170341,-0.01121472622040143,-0.00590454706411075,-0.009829057664858004,0.0624390711767748,0.0269457069632437,0.0508685193663458,-0.0457667671208725,-0.0342569899098958,-0.0446640703715184,0.0008416965556858,0.0007259962122751,0.0001803786888175,6.57139752705844e-05,0.0004582686337540635,-0.0004910031768517226,0.014450714095029614,0.007572343949644674,0.012866477149402198
2019,149,150,134,103,100,117,0.007512768914082223,0.004626368112099956,0.005864491160055582,-0.007624177751118304,-0.005237160717927919,-0.00507074072632822,0.0427845954475809,0.0191710491900233,0.0257632906028641,-0.0353349888460576,-0.0254594957506334,-0.0250080220176295,0.0014211321676693,0.00126976100683065,0.0007448152732652999,0.0013258423009248643,0.0006755521627865137,0.0007641474224882789,0.01020264642905953,0.006326082466962688,0.007482502719449318
2020,158,157,145,95,96,107,0.013453296179334356,0.00846254527145101,0.00983156408774142,-0.017601454482803324,-0.011215216122750726,-0.01155255984437526,0.0847055515072743,0.0554382058901644,0.0436721541988351,-0.1197878430113809,-0.0945721263790148,-0.0607461660131683,0.0034517785720113,0.0023487379075725,0.0019755039196378,0.0017924214247767285,0.0009958848214772283,0.0007488256497010012,0.022445713432796156,0.015477284126071605,0.014192022424375231
2021,143,146,143,108,106,109,0.008583790118489821,0.004692055596835916,0.006774703984450424,-0.009012026427178174,-0.005049226339993717,-0.007948561016285095,0.0394411764885433,0.0251050167300304,0.0234829749297082,-0.0348626111138101,-0.0186026442071687,-0.0281379056541931,0.00143001719627525,0.00123254066297065,0.0013664111582284,0.0010086632254317533,0.000594532242455198,0.00040630761508466404,0.011480172931394606,0.006450098769316554,0.009245026513341345
2022,111,112,120,140,138,131,0.016728494477292074,0.00817009617644436,0.013894170073943482,-0.015762852844910576,-0.008227619238401237,-0.013669824251521953,0.0737885163881892,0.0481923214660304,0.0679023778232038,-0.0548367721016255,-0.0321171047859383,-0.0400899100375562,-0.0022071359214685,-0.0009357658167507,-0.0012112726341641,-0.0013941693677612004,-0.0008779310085163421,-0.0004918189963193535,0.020246759969584856,0.011048560600196928,0.017097813710571785
2023,141,129,148,109,121,102,0.009493677037550217,0.005095806511978906,0.007592306770549529,-0.008184123613163527,-0.004694402940642736,-0.007681038265066164,0.0358898953577322,0.0225841124371946,0.0295637501966233,-0.0244758400172944,-0.0217502847194476,-0.0306462349152396,0.00133442186732,0.00011949323580379999,0.0016454161382556,0.0017861559538390253,0.00035734513691003085,0.001360781996018326,0.01125408001250303,0.00647373690462877,0.009630795090990555
2024,71,76,61,53,46,63,0.007715246086386413,0.00471072815523311,0.006045725299470588,-0.007264874911569261,-0.004688759092218337,-0.005386920995319708,0.0292756805561411,0.020864183615141,0.0174879322179874,-0.0206891894141822,-0.0185142592603367,-0.024883500114805,0.00157891781206625,0.001286976972519,-6.566685214582013e-05,0.001312452434034391,0.001147842109319943,0.0002372033916335827,0.00963396006597872,0.006027402198880155,0.007487953078728911
