date,target,combined_feature,return_label_x,return_label_y,return_x,return_y
2000-03-02,cash,----+--+++,-,+,-0.0011266336187471,1e-06
2000-03-03,spy,---+--+++-,+,+,0.0048954161103693,1e-06
2000-03-06,cash,--+--+++-+,-,+,-0.0075454948956946,1e-06
2000-03-07,cash,-+--+++-+-,-,+,-0.02109375,1e-06
2000-03-08,spy,+--+++-+--,+,+,0.0029768719945042,1e-06
2000-03-09,spy,--+++-+--+,+,+,0.0264116575591985,1e-06
2000-03-10,cash,-+++-+--++,-,+,-0.0004458314757021,1e-06
2000-03-13,spy,+++-+--++-,+,+,0.0139460448102423,1e-06
2000-03-14,cash,++-+--++-+,-,+,-0.0190711240744895,1e-06
2000-03-15,spy,+-+--++-+-,+,+,0.0214611872146118,1e-06
2000-03-16,spy,-+--++-+-+,+,+,0.0333186231244483,1e-06
2000-03-17,spy,+--++-+-++,+,+,0.0077153879125589,1e-06
2000-03-20,cash,--++-+-+++,-,+,-0.0046808510638297,1e-06
2000-03-21,spy,-++-+-+++-,+,+,0.0251234700450934,1e-06
2000-03-22,spy,++-+-+++-+,+,+,0.0035520267446719,1e-06
2000-03-23,spy,+-+-+++-++,+,+,0.0234653257909071,1e-06
2000-03-24,spy,-+-+++-+++,+,+,0.0044971381847914,1e-06
2000-03-27,cash,+-+++-++++,-,+,-0.0093724531377343,1e-06
2000-03-28,cash,-+++-++++-,-,+,-0.0012396694214876,1e-06
2000-03-29,cash,+++-++++--,-,+,-0.0022680412371134,1e-06
2000-03-30,cash,++-++++---,-,+,-0.0097814776274713,1e-06
2000-03-31,spy,+-++++----,+,+,0.0050125313283208,1e-06
2000-04-03,spy,-++++----+,+,+,0.0074937552039966,1e-06
2000-04-04,cash,++++----++,-,+,-0.0107084019769357,1e-06
2000-04-05,spy,+++----++-,+,+,0.0088757396449704,1e-06
2000-04-06,spy,++----++-+,+,+,0.0015599001663893,1e-06
2000-04-07,cash,+----++-++,-,+,-0.0008247422680412,1e-06
2000-04-10,cash,----++-++-,-,+,-0.0059719934102141,1e-06
2000-04-11,spy,---++-++--,+,+,0.0027083333333333,1e-06
2000-04-12,cash,--++-++--+,-,+,-0.0272236076475477,1e-06
2000-04-13,cash,-++-++--+-,-,+,-0.0218266581902945,1e-06
2000-04-14,cash,++-++--+--,-,+,-0.0464504820333041,1e-06
2000-04-17,spy,+-++--+---,+,+,0.0411465557096625,1e-06
2000-04-18,spy,-++--+---+,+,+,0.0277901289461983,1e-06
2000-04-19,cash,++--+---++,-,+,-0.009515570934256,1e-06
2000-04-20,spy,+--+---++-,+,+,0.0017414018284719,1e-06
2000-04-24,spy,--+---++-+,+,+,0.0053003533568904,1e-06
2000-04-25,spy,-+---++-++,+,+,0.0244165946413137,1e-06
2000-04-26,cash,+---++-+++,-,+,-0.0100316789862724,1e-06
2000-04-27,spy,---++-+++-,+,+,0.0209790209790209,1e-06
2000-04-28,cash,--++-+++-+,-,+,-0.0129676870748299,1e-06
2000-05-01,spy,-++-+++-+-,+,+,0.003411513859275,1e-06
2000-05-02,cash,++-+++-+-+,-,+,-0.0094501718213058,1e-06
2000-05-03,cash,+-+++-+-+-,-,+,-0.0225694444444444,1e-06
2000-05-04,cash,-+++-+-+--,-,+,-0.0013204225352112,1e-06
2000-05-05,spy,+++-+-+---,+,+,0.017501107665042,1e-06
2000-05-08,cash,++-+-+---+,-,+,-0.0020796847635726,1e-06
2000-05-09,cash,+-+-+---+-,-,+,-0.0122324159021406,1e-06
2000-05-10,cash,-+-+---+--,-,+,-0.0169039145907473,1e-06
2000-05-11,spy,+-+---+---,+,+,0.0082515611061552,1e-06
2000-05-12,spy,-+---+---+,+,+,0.007051564565888,1e-06
2000-05-15,spy,+---+---++,+,+,0.0177320490367775,1e-06
2000-05-16,spy,---+---+++,+,+,0.0008528784648187,1e-06
2000-05-17,cash,--+---++++,-,+,-0.0036465036465036,1e-06
2000-05-18,cash,-+---++++-,-,+,-0.015450643776824,1e-06
2000-05-19,cash,+---++++--,-,+,-0.0100832967996492,1e-06
2000-05-22,cash,---++++---,-,+,-0.0084070796460176,1e-06
2000-05-23,cash,--++++----,-,+,-0.0173564753004005,1e-06
2000-05-24,spy,-++++-----,+,+,0.0163043478260869,1e-06
2000-05-25,cash,++++-----+,-,+,-0.0202132385606397,1e-06
2000-05-26,cash,+++-----+-,-,+,-0.0058532192705988,1e-06
2000-05-30,spy,++-----+--,+,+,0.0178571428571428,1e-06
2000-05-31,spy,+-----+--+,+,+,0.0017536168347216,1e-06
2000-06-01,spy,-----+--++,+,+,0.0113092648977816,1e-06
2000-06-02,cash,----+--+++,-,+,-0.007343684431389,1e-06
2000-06-05,cash,---+--+++-,-,+,-0.0023310023310023,1e-06
2000-06-06,cash,--+--+++--,-,+,-0.0010656436487638,1e-06
2000-06-07,spy,-+--+++---,+,+,0.0058610400682011,1e-06
2000-06-08,cash,+--+++---+,-,+,-0.0040254237288135,1e-06
2000-06-09,cash,--+++---+-,-,+,-0.0061440677966101,1e-06
2000-06-12,cash,-+++---+--,-,+,-0.0142462258133106,1e-06
2000-06-13,spy,+++---+---,+,+,0.0192058696590418,1e-06
2000-06-14,cash,++---+---+,-,+,-0.0027403035413153,1e-06
2000-06-15,spy,+---+---+-,+,+,0.000210970464135,1e-06
2000-06-16,cash,---+---+-+,-,+,-0.0115887062789717,1e-06
2000-06-19,spy,--+---+-+-,+,+,0.01365478984425,1e-06
2000-06-20,cash,-+---+-+-+,-,+,-0.0016870518768452,1e-06
2000-06-21,spy,+---+-+-+-,+,+,0.0063802637175669,1e-06
2000-06-22,cash,---+-+-+-+,-,+,-0.013130029648454,1e-06
2000-06-23,cash,--+-+-+-+-,-,+,-0.009858551221603,1e-06
2000-06-26,spy,-+-+-+-+--,+,+,0.0059114359415305,1e-06
2000-06-27,cash,+-+-+-+--+,-,+,-0.0056726961361447,1e-06
2000-06-28,cash,-+-+-+--+-,-,+,-0.0004291845493562,1e-06
2000-06-29,cash,+-+-+--+--,-,+,-0.0038860103626943,1e-06
2000-06-30,spy,-+-+--+---,+,+,0.0093356491532783,1e-06
2000-07-03,spy,+-+--+---+,+,+,0.012677266867211,1e-06
2000-07-05,cash,-+--+---++,-,+,-0.0119555935098206,1e-06
2000-07-06,spy,+--+---++-,+,+,0.0056058645968089,1e-06
2000-07-07,spy,--+---++-+,+,+,0.0095867064337452,1e-06
2000-07-10,cash,-+---++-++,-,+,-0.000211327134404,1e-06
2000-07-11,spy,+---++-++-,+,+,0.0046620046620046,1e-06
2000-07-12,cash,---++-++-+,-,+,-0.0010466820180029,1e-06
2000-07-13,cash,--++-++-+-,-,+,-0.0013543077403896,1e-06
2000-07-14,spy,-++-++-+--,+,+,0.0054009140008309,1e-06
2000-07-17,spy,++-++-+--+,+,+,0.0001034875297526,1e-06
2000-07-18,cash,+-++-+--++,-,+,-0.0057053941908713,1e-06
