Year,CO_Positive Count,CO_Negative Count,CO_Average Positive Return,CO_Average Negative Return,CO_Max Return,CO_Min Return,CO_Median Return,CO_Average Return,CO_Stddev Return,CC_Positive Count,CC_Negative Count,CC_Average Positive Return,CC_Average Negative Return,CC_Max Return,CC_Min Return,CC_Median Return,CC_Average Return,CC_Stddev Return,OC_Positive Count,OC_Negative Count,OC_Average Positive Return,OC_Average Negative Return,OC_Max Return,OC_Min Return,OC_Median Return,OC_Average Return,OC_Stddev Return
2010,132,119,0.005013248587092917,-0.005064827195144576,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,143,108,0.007500754187015424,-0.008663720460694616,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,142,108,0.006002953272210746,-0.007184632745152731,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2011,129,121,0.00623620542988854,-0.006253484198082377,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,133,119,0.009819557754911355,-0.010768920636533596,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,135,116,0.006833264581606617,-0.008095692885333013,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2012,131,119,0.003802071346586052,-0.0038501263718838685,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,136,112,0.00598365688459786,-0.006064742720531734,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,135,112,0.00478294397855689,-0.004908710104677813,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2013,139,111,0.003000272615276399,-0.0029188610700654513,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,145,104,0.005624722853489248,-0.005281810383664361,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,153,99,0.0038572595507050237,-0.004445054976382502,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2014,143,107,0.0028072629767798064,-0.0028677046516240156,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,147,105,0.004891969246577381,-0.005769366569864971,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,140,111,0.003982369998954674,-0.004781871509759466,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2015,124,127,0.004223808875850791,-0.004223864970762834,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,121,131,0.0074889955979987,-0.0068871948643075285,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,125,124,0.005366291341190002,-0.0054391385800520945,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2016,129,113,0.003386395767195591,-0.004105150618966335,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,136,115,0.005781522978416429,-0.005961742745279585,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,139,112,0.004562897148770051,-0.004314925437533062,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2017,142,96,0.002160523210261557,-0.0019526204648784636,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,141,109,0.003373306811018401,-0.002716697569776949,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,134,113,0.0024603237377309683,-0.002412311035369527,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2018,140,111,0.0039513996100355815,-0.004063638761346745,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,132,117,0.006907766726221398,-0.008228970241898384,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,127,122,0.0057373839654561954,-0.007380028400864233,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2019,148,103,0.003625947525646305,-0.00380339675000308,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,149,103,0.005685660850926921,-0.005691251704096613,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,138,112,0.004259221412235658,-0.004030151722703409,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2020,144,109,0.008448253638830651,-0.009816219108932088,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,146,107,0.012266402533478651,-0.014806746539246898,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,147,105,0.007416268404262621,-0.009889670176686731,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2021,154,98,0.0034602369220060303,-0.003902282084573786,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,146,106,0.006309213137216572,-0.00635069366793465,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,137,114,0.0048468434829557665,-0.00498374898006931,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2022,114,137,0.006517660631723837,-0.006500600461249808,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,108,142,0.013095658556888866,-0.011279519733466898,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,127,124,0.009787657347964345,-0.01032605107207195,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2023,127,122,0.003839091324087022,-0.0037249498837711313,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,140,109,0.0066489197023054435,-0.006465543914179526,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,147,103,0.005326340473005567,-0.00583642376273262,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
2024,77,45,0.0032796603517714,-0.0034697535407338417,0.0606779971365201,-0.1044854221118498,0.0003938398321913,0.0002043945586160225,0.007084766210427006,71,53,0.005582626915750995,-0.0048692923541937844,0.1451977228714247,-0.1094237354049448,0.0005981412593034,0.0002882952128415923,0.012298928239300165,67,57,0.004050144542768941,-0.0039067475902824006,0.0843466555606062,-0.0899057433736957,0.0005386421887978,8.026401560442341e-05,0.00982417979786433
